"review_group","review_words","word_count","count_normalise","game"
"Positive reviews","even",137,0.00394187886635017,"Crusader Kings III: Royal Court"
"Positive reviews","now",137,0.00394187886635017,"Crusader Kings III: Royal Court"
"Positive reviews","play",137,0.00394187886635017,"Crusader Kings III: Royal Court"
"Positive reviews","system",137,0.00394187886635017,"Crusader Kings III: Royal Court"
"Positive reviews","make",136,0.00391310602790965,"Crusader Kings III: Royal Court"
"Positive reviews","sale",135,0.00388433318946914,"Crusader Kings III: Royal Court"
"Positive reviews","see",135,0.00388433318946914,"Crusader Kings III: Royal Court"
"Positive reviews","also",133,0.00382678751258812,"Crusader Kings III: Royal Court"
"Positive reviews","wait",133,0.00382678751258812,"Crusader Kings III: Royal Court"
"Positive reviews","cultures",125,0.00359660480506402,"Crusader Kings III: Royal Court"
"Positive reviews","bit",122,0.00351028628974248,"Crusader Kings III: Royal Court"
"Positive reviews","features",119,0.00342396777442095,"Crusader Kings III: Royal Court"
"Positive reviews","30",115,0.0033088764206589,"Crusader Kings III: Royal Court"
"Positive reviews","free",114,0.00328010358221839,"Crusader Kings III: Royal Court"
"Positive reviews","feel",111,0.00319378506689685,"Crusader Kings III: Royal Court"
"Positive reviews","love",111,0.00319378506689685,"Crusader Kings III: Royal Court"
"Positive reviews","still",111,0.00319378506689685,"Crusader Kings III: Royal Court"
"Positive reviews","makes",102,0.00293482952093224,"Crusader Kings III: Royal Court"
"Positive reviews","add",101,0.00290605668249173,"Crusader Kings III: Royal Court"
"Positive reviews","10",100,0.00287728384405122,"Crusader Kings III: Royal Court"
"Positive reviews","playing",100,0.00287728384405122,"Crusader Kings III: Royal Court"
"Positive reviews","well",100,0.00287728384405122,"Crusader Kings III: Royal Court"
"Positive reviews","mechanics",99,0.0028485110056107,"Crusader Kings III: Royal Court"
"Positive reviews","way",99,0.0028485110056107,"Crusader Kings III: Royal Court"
"Positive reviews","buy",96,0.00276219249028917,"Crusader Kings III: Royal Court"
"Positive reviews","many",96,0.00276219249028917,"Crusader Kings III: Royal Court"
"Positive reviews","addition",95,0.00273341965184865,"Crusader Kings III: Royal Court"
"Positive reviews","update",95,0.00273341965184865,"Crusader Kings III: Royal Court"
"Positive reviews","events",92,0.00264710113652712,"Crusader Kings III: Royal Court"
"Positive reviews","added",91,0.00261832829808661,"Crusader Kings III: Royal Court"
"Positive reviews","hours",90,0.00258955545964609,"Crusader Kings III: Royal Court"
"Positive reviews","ck2",89,0.00256078262120558,"Crusader Kings III: Royal Court"
"Positive reviews","pretty",89,0.00256078262120558,"Crusader Kings III: Royal Court"
"Positive reviews","something",89,0.00256078262120558,"Crusader Kings III: Royal Court"
"Positive reviews","base",88,0.00253200978276507,"Crusader Kings III: Royal Court"
"Positive reviews","nice",87,0.00250323694432456,"Crusader Kings III: Royal Court"
"Positive reviews","though",86,0.00247446410588405,"Crusader Kings III: Royal Court"
"Positive reviews","want",84,0.00241691842900302,"Crusader Kings III: Royal Court"
"Positive reviews","first",83,0.00238814559056251,"Crusader Kings III: Royal Court"
"Positive reviews","say",81,0.00233059991368148,"Crusader Kings III: Royal Court"
"Positive reviews","interesting",80,0.00230182707524097,"Crusader Kings III: Royal Court"
"Positive reviews","3d",79,0.00227305423680046,"Crusader Kings III: Royal Court"
"Positive reviews","games",77,0.00221550855991944,"Crusader Kings III: Royal Court"
"Positive reviews","recommend",76,0.00218673572147892,"Crusader Kings III: Royal Court"
"Positive reviews","cool",75,0.00215796288303841,"Crusader Kings III: Royal Court"
"Positive reviews","things",74,0.0021291900445979,"Crusader Kings III: Royal Court"
"Positive reviews","little",72,0.00207164436771688,"Crusader Kings III: Royal Court"
"Positive reviews","already",70,0.00201409869083585,"Crusader Kings III: Royal Court"
"Positive reviews","got",69,0.00198532585239534,"Crusader Kings III: Royal Court"
"Positive reviews","however",68,0.00195655301395483,"Crusader Kings III: Royal Court"
"Positive reviews","kings",68,0.00195655301395483,"Crusader Kings III: Royal Court"
"Positive reviews","flavor",67,0.00192778017551431,"Crusader Kings III: Royal Court"
"Positive reviews","room",67,0.00192778017551431,"Crusader Kings III: Royal Court"
"Positive reviews","money",66,0.0018990073370738,"Crusader Kings III: Royal Court"
"Positive reviews","stuff",66,0.0018990073370738,"Crusader Kings III: Royal Court"
"Positive reviews","better",65,0.00187023449863329,"Crusader Kings III: Royal Court"
"Positive reviews","expensive",65,0.00187023449863329,"Crusader Kings III: Royal Court"
"Positive reviews","far",64,0.00184146166019278,"Crusader Kings III: Royal Court"
"Positive reviews","needed",64,0.00184146166019278,"Crusader Kings III: Royal Court"
"Positive reviews","work",62,0.00178391598331175,"Crusader Kings III: Royal Court"
